cod_ibge,nome,uf,nome_uf,familias_cadastradas,familias_pobreza,familias_baixa_renda,familias_acima_meio_sm,familias_elegiveis,source_id,data_referencia,renda_referencia,renda_fonte,beneficiarios_tsee,subsidio_tsee_reais,source_id_tsee_municipio,data_referencia_tsee_municipio,tarifa_municipal_estimada,tarifa_flag_estimativa,distribuidoras_usadas,dec_apurado,fec_apurado,dec_limite,fec_limite,dec_rel,fec_rel,compensacoes_decfec_reais,dom_favela,dom_total,lacuna_bruta,d1_lacuna_tsee,conta_estimada,d2_peso_conta_renda,d3_qualidade,d4_vulnerabilidade_territorial,n_d1_lacuna_tsee,n_d2_peso_conta_renda,n_d3_qualidade,n_d4_vulnerabilidade_territorial,n_dimensoes_validas,ipem,ipem_dois_piores,dois_piores_indicadores,ranking,faixa,subsidio_por_familia
5222302,Vila Propício,GO,Vila Propício (GO),1810,605,359,846,964,mds_cecad,2026-08,1229.207600827301,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",406,11850.300000000001,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.504,1.324,16.6,9.8,0.27132530120481924,0.13510204081632654,847528.8099999999,62,75,558,0.578838174273859,69.5701,0.05659751855844108,0.27132530120481924,0.8266666666666667,70.16840978490947,33.41470267011764,78.9122408947716,89.57830605552182,4,68.01841485133014,84.24527347514672,"D4, D3",21,Muito alta,29.187931034482762
1300409,Barcelos,AM,Barcelos (AM),5359,2998,1056,1305,4054,mds_cecad,2026-08,623.7992466741465,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1261,63353.26,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,6.48,2.94,70.0,87.0,0.09257142857142858,0.03379310344827586,318619.95999999996,413,549,2793,0.6889491859891466,69.5701,0.11152642516149314,0.09257142857142858,0.7522768670309654,83.51637979666928,79.4438348789417,26.583121198159166,81.5173638307124,4,67.76517492612064,82.51687181369084,"D1, D4",22,Muito alta,50.24049167327518
1301506,Envira,AM,Envira (AM),5743,4003,788,952,4791,mds_cecad,2026-08,593.9444379527927,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",2290,90759.05,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,442,482,2501,0.5220204550198289,69.5701,0.11713233688961576,0.0812962962962963,0.91701244813278,63.28080425913001,84.1414570972295,23.282394127307878,99.36825209946957,4,67.51822689578424,91.75485459834954,"D4, D2",23,Muito alta,39.63277292576419
1301407,Eirunepé,AM,Eirunepé (AM),9204,5882,1595,1727,7477,mds_cecad,2026-08,606.5268529438447,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3353,123671.69,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,1470,1638,4124,0.5515581115420624,69.5701,0.11470242358163349,0.0812962962962963,0.8974358974358975,66.86144299211965,82.10524687885822,23.282394127307878,97.24692034563473,4,67.37400108598011,89.67608361224649,"D4, D2",24,Muito alta,36.883892036981806
1300060,Amaturá,AM,Amaturá (AM),4407,2410,822,1175,3232,mds_cecad,2026-08,584.7521074571561,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1250,59215.29,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.23,3.65,75.0,62.0,0.056400000000000006,0.05887096774193548,79726.95,533,624,1982,0.6132425742574258,69.5701,0.11897366270731619,0.05887096774193548,0.8541666666666666,74.33900900200378,85.68444483800032,16.717514245998938,92.5582295432559,4,67.32479940731473,89.12133719062811,"D4, D2",25,Muito alta,47.372232000000004
1300607,Benjamin Constant,AM,Benjamin Constant (AM),10866,7176,1716,1974,8892,mds_cecad,2026-08,589.3725419664269,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",3742,148143.52000000002,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.23,3.65,75.0,62.0,0.056400000000000006,0.05887096774193548,79726.95,1191,1329,5150,0.5791722896986055,69.5701,0.11804095889482921,0.05887096774193548,0.8961625282167043,70.2089122069698,84.90286097348094,16.717514245998938,97.10893696945905,4,67.23455609897718,91.00589897147,"D4, D2",26,Muito alta,39.589396044895786
1600105,Amapá,AP,Amapá (AP),2871,1954,343,574,2297,mds_cecad,2026-08,862.9768600252207,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",1024,18132.14,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,9.88,4.52,69.0,24.0,0.14318840579710146,0.18833333333333332,0.0,72,85,1273,0.5542011319111885,69.5701,0.08061641420833322,0.18833333333333332,0.8470588235294118,67.18183743839707,53.54197247667529,54.61684210634188,91.78801759009826,4,66.78216740287813,79.48492751424766,"D4, D1",27,Muito alta,17.70716796875
1501782,Breu Branco,PA,Breu Branco (PA),17261,8748,3092,5421,11840,mds_cecad,2026-08,754.4806292479719,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",4092,157588.08000000002,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,3.5025,1.24,31.5,18.75,0.11119047619047619,0.06613333333333334,30532.059999999998,3954,4635,7748,0.6543918918918918,69.5701,0.09220925932763038,0.11119047619047619,0.8530744336569579,79.32724632026078,63.2565041080568,32.03373525837768,92.4398742414483,4,66.76433998203589,85.88356028085454,"D4, D1",28,Muito alta,38.51126099706745
1302405,Lábrea,AM,Lábrea (AM),18261,12228,1877,4156,14105,mds_cecad,2026-08,634.1165054974168,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",5479,216957.64,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,6.12,5.21,78.0,100.0,0.07846153846153846,0.0521,1224928.65,1822,2145,8626,0.6115561857497341,69.5701,0.10971185798960945,0.07846153846153846,0.8494172494172494,74.13458019076873,77.92327025419846,22.452535843061437,92.04357863363454,4,66.6384912304158,84.9834244439165,"D4, D2",29,Muito alta,39.59803613798139
1301308,Codajás,AM,Codajás (AM),6684,3745,1287,1652,5032,mds_cecad,2026-08,611.5338632682635,"IBGE Censo 2022 SIDRA 10296, média aproximada por faixas",2084,76935.62,aneel_cde,2024-12,0.695701,True,mediana nacional B1 residencial ANEEL 2024 com carga tributaria estimada,4.39,3.82,54.0,89.0,0.0812962962962963,0.04292134831460674,444933.24,784,947,2948,0.5858505564387917,69.5701,0.11376328308001066,0.0812962962962963,0.8278775079197466,71.01847069517106,81.31826922018665,23.282394127307878,89.70951384788438,4,66.3321619726375,85.51389153403551,"D4, D2",30,Muito alta,36.91728406909789
