cod_ibge,linhas_tsee,subs_pos,subs_neg,n_negativos,subs_liquido
2709202,4457.0,134095.22,0.0,0.0,134095.22
2709301,11223.0,381648.1,-42.05,5.0,381606.05
2709400,4558.0,148049.97000000003,-26.27,2.0,148023.7
3151800,5725.0,137515.52999999997,0.0,0.0,137515.53
3300209,19554.0,723637.6699999999,-2057.5,51.0,721580.17
3302700,27244.0,1032554.1200000001,-2711.4700000000003,66.0,1029842.65
3304300,7980.0,319884.99000000005,-1009.58,29.0,318875.41000000003
3305505,15588.0,583454.27,-955.63,27.0,582498.64
3507407,932.0,25564.629999999997,0.0,0.0,25564.63
3513702,668.0,20448.710000000003,-100.86,3.0,20347.850000000002
3533502,2357.0,65139.05999999999,0.0,0.0,65139.06
3539301,2297.0,71655.13000000002,-961.38,29.0,70693.75
3540705,1477.0,46447.38999999999,-188.12,6.0,46259.27
3541604,1300.0,40221.46,-70.72,2.0,40150.74
3552601,715.0,19685.11,0.0,0.0,19685.11
4200606,102.0,2620.8999999999996,-225.93,8.0,2394.97
4200903,50.0,1238.25,0.0,0.0,1238.25
4201208,140.0,3987.41,-61.97,2.0,3925.44
4202206,131.0,3239.96,-92.81,3.0,3147.1499999999996
4202305,2188.0,58493.24,-1844.71,78.0,56648.53
4203709,652.0,17310.81,-727.0699999999999,26.0,16583.74
4205704,1068.0,28748.260000000002,-1425.85,48.0,27322.410000000003
4206009,451.0,12285.080000000002,-400.99,13.0,11884.089999999998
4207205,589.0,15009.510000000002,-303.03999999999996,10.0,14706.470000000001
4207304,1440.0,40113.950000000004,-1091.2099999999998,40.0,39022.74
4208708,273.0,8746.619999999999,-30.36,1.0,8716.26
4208807,497.0,13613.300000000001,-291.37,13.0,13321.93
4209409,1386.0,36114.92,-1000.12,35.0,35114.799999999996
4209805,32.0,852.72,0.0,0.0,852.72
4210209,76.0,1876.2600000000002,-9.97,1.0,1866.29
4211504,206.0,5312.69,-128.75,7.0,5183.9400000000005
4211900,5084.0,132657.13999999998,-4448.48,177.0,128208.66
4212304,246.0,10230.560000000001,0.0,0.0,10230.56
4214300,16.0,431.93000000000006,0.0,0.0,431.93
4215703,604.0,15392.24,-478.01,23.0,14914.230000000001
4217253,49.0,1405.1100000000001,-31.26,1.0,1373.85
4217600,401.0,12708.170000000002,0.0,0.0,12708.17
4218004,1224.0,33308.25000000001,-965.9800000000001,34.0,32342.27
4218350,141.0,6188.790000000001,0.0,0.0,6188.790000000001
4218707,2796.0,84191.25000000001,-1879.17,66.0,82312.08
4300034,110.0,3337.88,0.0,0.0,3337.88
4300208,222.0,6566.560000000001,-35.8,1.0,6530.759999999999
4300455,136.0,3814.13,0.0,0.0,3814.1299999999997
4300471,13.0,331.19999999999993,0.0,0.0,331.2
4300703,56.0,1745.2699999999998,0.0,0.0,1745.27
4301008,389.0,12357.91,-35.8,1.0,12322.109999999999
4301404,324.0,9697.890000000001,-214.79999999999998,6.0,9483.09
4301503,187.0,5453.68,-23.46,2.0,5430.219999999999
4301651,37.0,1097.6100000000001,0.0,0.0,1097.6100000000001
4301750,201.0,4527.800000000001,0.0,0.0,4527.8
4302006,269.0,7511.240000000001,-23.46,2.0,7487.78
4302220,45.0,1216.49,0.0,0.0,1216.49
4302253,8.0,253.69,0.0,0.0,253.69
4302402,395.0,11843.529999999999,-14.38,1.0,11829.15
4302451,63.0,1701.21,0.0,0.0,1701.21
4302584,19.0,452.75,0.0,0.0,452.75
4304358,786.0,20584.379999999997,0.0,0.0,20584.379999999997
4304614,21.0,580.0900000000001,0.0,0.0,580.09
4304697,26.0,738.9,0.0,0.0,738.9000000000001
4304705,1033.0,26161.0,0.0,0.0,26161.0
4304804,219.0,6608.37,0.0,0.0,6608.37
4304903,100.0,3141.73,0.0,0.0,3141.73
4305009,420.0,13017.04,0.0,0.0,13017.04
4305173,495.0,12505.410000000002,-37.06,2.0,12468.350000000002
4305306,86.0,2204.73,0.0,0.0,2204.73
4305405,242.0,7447.530000000001,-48.97,2.0,7398.5599999999995
4305587,26.0,732.54,-35.8,1.0,696.74
4305603,29.0,720.6199999999999,0.0,0.0,720.62
4305835,7.0,229.88,0.0,0.0,229.88
4305850,12.0,310.09999999999997,0.0,0.0,310.09999999999997
4305871,28.0,632.6,0.0,0.0,632.6
4305934,2.0,23.41,0.0,0.0,23.41
4306452,32.0,876.4699999999998,-137.37,4.0,739.1
4306700,157.0,5097.65,0.0,0.0,5097.65
4306734,128.0,3801.8100000000004,-35.8,1.0,3766.0099999999998
4306809,433.0,12931.93,-35.8,1.0,12896.13
4307906,1735.0,53393.89000000001,-161.53,7.0,53232.35999999999
4308003,304.0,9985.119999999999,-37.07,1.0,9948.050000000001
4308078,202.0,5829.580000000001,0.0,0.0,5829.58
4308300,277.0,7943.45,0.0,0.0,7943.45
4308433,18.0,496.71000000000004,0.0,0.0,496.71000000000004
4308805,510.0,14326.400000000001,0.0,0.0,14326.4
4309159,40.0,1126.17,0.0,0.0,1126.17
4309605,426.0,12929.740000000002,-71.6,2.0,12858.14
4309654,240.0,7347.17,0.0,0.0,7347.17
4310108,1756.0,55275.34000000001,-292.09,10.0,54983.25
4310207,1932.0,54343.869999999995,-375.79999999999995,10.0,53968.06999999999
4310306,82.0,2428.4500000000003,-33.76,1.0,2394.6899999999996
4310405,259.0,7698.990000000002,-102.11,3.0,7596.879999999999
4310413,159.0,4490.49,0.0,0.0,4490.49
4310579,19.0,539.35,0.0,0.0,539.35
4310751,55.0,1593.1,0.0,0.0,1593.1
4311155,254.0,7480.910000000001,-81.95,3.0,7398.959999999999
4311205,1251.0,37506.89000000001,-159.86,7.0,37347.03
4311403,1868.0,58653.229999999996,-429.91,13.0,58223.32
4311981,195.0,4785.95,-65.39,2.0,4720.56
4312054,53.0,1490.4299999999998,0.0,0.0,1490.43
4312351,7.0,177.48000000000002,0.0,0.0,177.47999999999996
4312401,2527.0,77010.01,-969.22,33.0,76040.79
4312757,17.0,446.38,0.0,0.0,446.38
4312906,86.0,2628.2400000000002,0.0,0.0,2628.2400000000002
4313102,182.0,5886.089999999999,0.0,0.0,5886.09
4313334,32.0,720.74,0.0,0.0,720.74
4313425,100.0,2572.8399999999992,-18.7,1.0,2554.1400000000003
4314001,61.0,1881.1799999999998,0.0,0.0,1881.1799999999998
4314076,126.0,3612.85,0.0,0.0,3612.85
4314159,172.0,4416.8099999999995,-28.71,1.0,4388.1
4314753,10.0,292.4,0.0,0.0,292.4
4315131,14.0,427.24,0.0,0.0,427.24
4315156,57.0,1529.6100000000001,0.0,0.0,1529.6100000000001
4315206,35.0,1053.08,0.0,0.0,1053.08
4315453,25.0,768.09,0.0,0.0,768.09
4315503,819.0,26515.299999999996,0.0,0.0,26515.3
4315701,2777.0,81720.67999999998,-213.94999999999993,8.0,81506.73
4316501,31.0,888.1700000000001,0.0,0.0,888.17
4316758,16.0,505.8900000000001,0.0,0.0,505.89000000000004
4316808,4541.0,141676.28000000003,-1517.6599999999999,59.0,140158.62
4316907,11933.0,372387.7200000001,-2409.3500000000004,70.0,369978.36999999994
4317756,30.0,708.74,0.0,0.0,708.74
4317806,1124.0,34006.060000000005,-199.82,8.0,33806.24
4318051,20.0,662.6800000000001,0.0,0.0,662.68
4318200,1096.0,32031.0,-119.48,5.0,31911.52
4318432,71.0,2421.03,0.0,0.0,2421.03
4318465,36.0,1093.9299999999998,0.0,0.0,1093.93
4318499,19.0,487.51000000000005,0.0,0.0,487.51
4319356,11.0,287.48,0.0,0.0,287.48
4319711,15.0,425.02000000000004,0.0,0.0,425.02000000000004
4319737,216.0,6040.740000000001,0.0,0.0,6040.74
4320305,45.0,1128.5,0.0,0.0,1128.5
4320453,15.0,408.21,0.0,0.0,408.21000000000004
4320552,196.0,5150.909999999999,0.0,0.0,5150.91
4320651,94.0,3000.16,0.0,0.0,3000.16
4320800,2292.0,69386.70000000001,-156.78,7.0,69229.92
4320859,98.0,2351.1400000000003,0.0,0.0,2351.14
4321204,1991.0,60919.98,-672.3699999999999,20.0,60247.61
4321303,1245.0,37084.280000000006,-33.57,1.0,37050.71
4321451,553.0,16946.719999999998,0.0,0.0,16946.72
4321626,12.0,344.42,0.0,0.0,344.42
4321808,938.0,29184.540000000005,-154.2,5.0,29030.339999999997
4322004,1414.0,40086.020000000004,-198.24,9.0,39887.78
4322251,55.0,1750.1899999999996,0.0,0.0,1750.1899999999998
4322301,221.0,6895.910000000002,0.0,0.0,6895.91
4322350,10.0,325.23,0.0,0.0,325.23
4322525,83.0,1883.51,0.0,0.0,1883.51
4322608,2390.0,73218.21999999999,-993.98,31.0,72224.23999999999
4323770,14.0,413.53,0.0,0.0,413.53000000000003
5200050,1981.0,64310.82,-19.66,1.0,64291.16
5200100,1448.0,45036.26,-22.76,1.0,45013.5
5200134,2272.0,72850.53,-38.51,1.0,72812.02
5200159,263.0,8089.1900000000005,0.0,0.0,8089.19
5200175,517.0,14846.26,-118.35999999999999,4.0,14727.9
5200209,161.0,5056.26,0.0,0.0,5056.26
5200258,21468.0,671023.0399999999,-443.29999999999995,16.0,670579.74
5200308,4041.0,125932.4,-106.91,4.0,125825.48999999999
5200506,137.0,4061.04,-38.51,1.0,4022.5299999999997
5200555,351.0,11365.88,0.0,0.0,11365.88
5200605,832.0,26558.25,0.0,0.0,26558.25
5200803,919.0,27404.76,-40.91,2.0,27363.850000000002
5200829,303.0,8879.269999999999,-63.11,2.0,8816.16
5200852,548.0,16086.18,0.0,0.0,16086.18
5200902,296.0,8598.68,0.0,0.0,8598.68
5201108,23794.0,748290.97,-170.89999999999998,6.0,748120.0700000001
5201207,102.0,3110.91,0.0,0.0,3110.91
5201306,2300.0,72790.96,-32.62,1.0,72758.34
5201405,34692.0,1127760.9799999997,-576.9899999999999,19.0,1127183.99
5201454,204.0,5947.380000000001,0.0,0.0,5947.38
5201504,300.0,9472.13,0.0,0.0,9472.13
5201603,313.0,9534.03,0.0,0.0,9534.03
5201702,1980.0,64898.56999999999,-77.02,2.0,64821.55
5201801,1259.0,39569.27999999999,-37.01,1.0,39532.27
5202155,751.0,23266.809999999994,-38.51,1.0,23228.3
5202353,279.0,8505.06,0.0,0.0,8505.06
5202502,760.0,24112.690000000002,0.0,0.0,24112.69
5202601,306.0,9070.449999999999,0.0,0.0,9070.449999999999
5202809,294.0,8828.630000000001,-38.51,1.0,8790.12
5203104,192.0,5371.969999999999,-32.02,1.0,5339.95
5203203,839.0,26950.43,-38.51,1.0,26911.92
5203302,2909.0,91507.29,-20.56,1.0,91486.73
5203401,937.0,28929.76,-38.51,1.0,28891.249999999996
5203500,981.0,31790.689999999995,-31.82,1.0,31758.87
5203559,1216.0,37483.07,0.0,0.0,37483.07
5203575,253.0,7773.25,0.0,0.0,7773.25
5203609,378.0,11637.990000000002,0.0,0.0,11637.99
5203807,524.0,15810.699999999999,0.0,0.0,15810.7
